,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,Male,Female,Unknown,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65to74,HospitalisedAged75to84,HospitalisedAged85up,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65to74,Aged75to84,Aged85up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID,DeathsCumulative_DOD,DeathsToday_DOD,SevenDayAvg_Cases
2,2020-03-03 00:00:00+00:00,1,2,0.0,0,2020-03-02 00:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0,3,1.0,0.0,0
3,2020-03-04 00:00:00+00:00,4,6,0.0,0,2020-03-03 00:00:00+00:00,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0,0,0,4,1.0,0.0,1
4,2020-03-05 00:00:00+00:00,7,13,0.0,0,2020-03-04 00:00:00+00:00,5.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,41.0,0,0,0,5,1.0,0.0,2
5,2020-03-06 00:00:00+00:00,5,18,0.0,0,2020-03-05 00:00:00+00:00,8.0,4.0,4.0,0.0,7.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,38.0,0,0,0,6,1.0,0.0,3
6,2020-03-07 00:00:00+00:00,1,19,0.0,0,2020-03-06 00:00:00+00:00,13.0,8.0,5.0,0.0,9.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,49.0,0,0,0,7,1.0,0.0,2
7,2020-03-08 00:00:00+00:00,2,21,0.0,0,2020-03-07 00:00:00+00:00,16.0,9.0,7.0,0.0,11.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,3.0,2.0,0.0,0.0,0.0,38.0,0,0,0,8,1.0,0.0,2
8,2020-03-09 00:00:00+00:00,3,24,0.0,0,2020-03-08 00:00:00+00:00,18.0,11.0,7.0,0.0,13.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,3.0,2.0,2.0,0.0,0.0,70.0,0,0,0,9,1.0,0.0,3
9,2020-03-10 00:00:00+00:00,10,34,0.0,0,2020-03-09 00:00:00+00:00,25.0,13.0,12.0,0.0,18.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,5.0,5.0,3.0,0.0,0.0,61.0,0,0,0,10,1.0,0.0,4
10,2020-03-11 00:00:00+00:00,9,43,1.0,1,2020-03-10 00:00:00+00:00,37.0,20.0,17.0,0.0,28.0,3.0,8.0,0.0,0.0,2.0,0.0,3.0,7.0,6.0,6.0,3.0,1.0,0.0,0.0,3.0,1.0,4.0,9.0,7.0,8.0,4.0,1.0,0.0,46.0,0,0,0,11,1.0,0.0,5
11,2020-03-12 00:00:00+00:00,27,70,0.0,1,2020-03-11 00:00:00+00:00,49.0,29.0,20.0,0.0,37.0,5.0,10.0,0.0,0.0,2.0,0.0,5.0,7.0,7.0,9.0,5.0,2.0,0.0,0.0,3.0,1.0,6.0,9.0,9.0,12.0,6.0,2.0,1.0,61.0,0,0,0,12,2.0,1.0,8
12,2020-03-13 00:00:00+00:00,20,90,0.0,1,2020-03-12 00:00:00+00:00,78.0,45.0,33.0,0.0,48.0,8.0,14.0,0.0,0.0,2.0,2.0,7.0,10.0,7.0,11.0,7.0,2.0,0.0,0.0,3.0,11.0,11.0,14.0,13.0,15.0,8.0,2.0,1.0,31.0,0,0,0,13,2.0,0.0,10
13,2020-03-14 00:00:00+00:00,39,129,1.0,2,2020-03-13 00:00:00+00:00,110.0,65.0,45.0,0.0,56.0,8.0,24.0,0.0,0.0,2.0,3.0,8.0,11.0,8.0,14.0,7.0,3.0,0.0,0.0,4.0,13.0,14.0,20.0,21.0,24.0,8.0,4.0,2.0,49.0,0,0,0,14,2.0,0.0,15
14,2020-03-15 00:00:00+00:00,40,169,0.0,2,2020-03-14 00:00:00+00:00,143.0,89.0,54.0,0.0,63.0,12.0,26.0,0.0,0.0,2.0,3.0,8.0,11.0,9.0,15.0,10.0,4.0,1.0,0.0,4.0,16.0,17.0,27.0,27.0,30.0,14.0,5.0,3.0,48.0,0,0,0,15,3.0,1.0,21
15,2020-03-16 00:00:00+00:00,54,223,0.0,2,2020-03-15 00:00:00+00:00,170.0,105.0,65.0,0.0,68.0,12.0,34.0,0.0,0.0,2.0,4.0,9.0,11.0,10.0,15.0,11.0,5.0,1.0,0.0,4.0,19.0,23.0,36.0,29.0,34.0,16.0,6.0,3.0,40.0,0,0,0,16,3.0,0.0,28
16,2020-03-17 00:00:00+00:00,69,292,0.0,2,2020-03-16 00:00:00+00:00,268.0,160.0,108.0,0.0,93.0,16.0,68.0,0.0,0.0,2.0,7.0,14.0,15.0,12.0,19.0,13.0,9.0,2.0,1.0,4.0,27.0,47.0,62.0,39.0,46.0,21.0,14.0,7.0,41.0,0,0,0,17,3.0,0.0,36
17,2020-03-18 00:00:00+00:00,74,366,0.0,2,2020-03-17 00:00:00+00:00,347.0,195.0,152.0,0.0,120.0,18.0,99.0,0.0,1.0,2.0,9.0,18.0,18.0,14.0,23.0,16.0,16.0,3.0,2.0,8.0,37.0,63.0,79.0,48.0,53.0,26.0,23.0,8.0,42.0,0,0,0,18,3.0,0.0,46
18,2020-03-19 00:00:00+00:00,191,557,1.0,3,2020-03-18 00:00:00+00:00,431.0,245.0,186.0,0.0,150.0,22.0,124.0,0.0,1.0,2.0,10.0,22.0,20.0,20.0,28.0,21.0,19.0,7.0,2.0,8.0,45.0,77.0,96.0,61.0,67.0,32.0,29.0,14.0,45.0,0,0,0,19,4.0,1.0,69
19,2020-03-20 00:00:00+00:00,126,683,0.0,3,2020-03-19 00:00:00+00:00,573.0,320.0,253.0,0.0,182.0,28.0,162.0,0.0,2.0,2.0,10.0,27.0,22.0,27.0,31.0,23.0,26.0,12.0,4.0,9.0,54.0,108.0,120.0,94.0,82.0,39.0,38.0,25.0,46.0,0,0,0,20,5.0,1.0,84
20,2020-03-21 00:00:00+00:00,102,785,0.0,3,2020-03-20 00:00:00+00:00,699.0,392.0,307.0,0.0,219.0,35.0,182.0,0.0,2.0,3.0,13.0,30.0,26.0,39.0,37.0,24.0,30.0,15.0,5.0,11.0,60.0,127.0,147.0,130.0,98.0,44.0,48.0,29.0,46.0,0,0,0,21,8.0,3.0,93
21,2020-03-22 00:00:00+00:00,121,906,1.0,4,2020-03-21 00:00:00+00:00,823.0,457.0,366.0,0.0,243.0,41.0,231.0,0.0,2.0,3.0,14.0,34.0,29.0,41.0,40.0,29.0,33.0,18.0,5.0,15.0,66.0,164.0,164.0,157.0,114.0,53.0,52.0,33.0,42.0,0,0,0,22,13.0,5.0,105
22,2020-03-23 00:00:00+00:00,219,1125,2.0,6,2020-03-22 00:00:00+00:00,951.0,526.0,425.0,0.0,281.0,50.0,260.0,0.0,2.0,3.0,15.0,38.0,30.0,51.0,45.0,36.0,40.0,21.0,5.0,16.0,74.0,188.0,183.0,189.0,132.0,63.0,64.0,37.0,50.0,0,0,0,23,15.0,2.0,128
23,2020-03-24 00:00:00+00:00,204,1329,1.0,7,2020-03-23 00:00:00+00:00,1149.0,634.0,515.0,0.0,316.0,59.0,304.0,44.0,2.0,3.0,16.0,40.0,31.0,57.0,53.0,43.0,46.0,25.0,5.0,19.0,91.0,227.0,213.0,227.0,161.0,83.0,78.0,45.0,46.0,0,0,0,24,22.0,7.0,148
24,2020-03-25 00:00:00+00:00,235,1564,2.0,9,2020-03-24 00:00:00+00:00,1369.0,747.0,622.0,0.0,362.0,68.0,341.0,63.0,2.0,3.0,16.0,41.0,33.0,66.0,62.0,55.0,55.0,29.0,8.0,21.0,108.0,264.0,246.0,279.0,193.0,108.0,90.0,52.0,48.0,0,0,0,25,30.0,8.0,171
25,2020-03-26 00:00:00+00:00,255,1819,10.0,19,2020-03-25 00:00:00+00:00,1617.0,867.0,750.0,0.0,434.0,77.0,402.0,66.0,3.0,4.0,17.0,46.0,44.0,71.0,73.0,68.0,69.0,39.0,10.0,24.0,120.0,309.0,303.0,316.0,230.0,131.0,108.0,64.0,47.0,0,0,0,26,39.0,9.0,180
26,2020-03-27 00:00:00+00:00,302,2121,3.0,22,2020-03-26 00:00:00+00:00,1879.0,1002.0,877.0,0.0,524.0,94.0,490.0,79.0,3.0,4.0,19.0,50.0,50.0,88.0,83.0,88.0,91.0,48.0,14.0,24.0,133.0,357.0,351.0,364.0,266.0,158.0,134.0,76.0,48.0,0,0,0,27,54.0,15.0,205
27,2020-03-28 00:00:00+00:00,294,2415,14.0,36,2020-03-27 00:00:00+00:00,2188.0,1136.0,1052.0,0.0,615.0,112.0,612.0,91.0,4.0,5.0,20.0,59.0,58.0,106.0,97.0,107.0,107.0,52.0,15.0,27.0,152.0,406.0,414.0,428.0,309.0,191.0,160.0,84.0,47.0,0,0,0,28,58.0,4.0,232
28,2020-03-29 00:00:00+00:00,200,2625,10.0,46,2020-03-28 00:00:00+00:00,2446.0,1240.0,1206.0,0.0,703.0,125.0,679.0,103.0,4.0,5.0,22.0,66.0,68.0,115.0,112.0,114.0,133.0,63.0,15.0,27.0,168.0,446.0,463.0,463.0,356.0,209.0,197.0,99.0,50.0,0,0,0,29,72.0,14.0,244
